file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\klimt\creole\command\CommandCreoleOpenIcon.java,net.sourceforge.plantuml.klimt.creole.command.CommandCreoleOpenIcon,class,8,10,2,8,8,1,0,12,4,0.4,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,30,5,0,3,0,0,3,7,9,1,8,1,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\project\lang\PairOfSomething.java,net.sourceforge.plantuml.project.lang.PairOfSomething,class,7,8,1,7,5,1,0,5,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,25,4,0,0,0,0,5,0,7,4,7,1,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\ext\plantuml\com\google\zxing\datamatrix\decoder\Version.java,ext.plantuml.com.google.zxing.datamatrix.decoder.Version$ECB,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,0,1,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,33,24,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\sequencediagram\graphic\FrontierStackImpl.java,net.sourceforge.plantuml.sequencediagram.graphic.FrontierStackImpl,class,5,7,2,5,10,1,0,14,0,0.2,0.0,0.0,10,0,8,2,0,0,8,0,0,0,1,0,0,1,0,0,1,0,3,70,7,0,0,0,0,2,10,15,11,14,0,0,1,0,29,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\eggs\PSystemEggFactory.java,net.sourceforge.plantuml.eggs.PSystemEggFactory,class,7,7,0,7,4,3,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3,17,3,1,0,1,0,2,0,2,0,2,3,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\svek\extremity\ExtremityFactoryCircleLine.java,net.sourceforge.plantuml.svek.extremity.ExtremityFactoryCircleLine,class,6,6,0,6,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,1,2,1,1,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\nwdiag\next\BooleanGrid.java,net.sourceforge.plantuml.nwdiag.next.BooleanGrid,class,3,5,2,3,21,1,0,12,26,0.75,0.0,0.0,8,0,6,2,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,40,6,4,1,0,1,1,7,6,6,6,3,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\swing\ScrollablePicture.java,net.sourceforge.plantuml.swing.ScrollablePicture,class,1,3,2,1,16,5,0,11,31,0.70000005,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,0,0,2,0,0,0,0,0,67,9,0,4,0,4,1,9,10,9,5,1,0,0,0,59,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\command\note\CommandFactoryTipOnEntity.java,net.sourceforge.plantuml.command.note.CommandFactoryTipOnEntity,class,21,23,2,21,12,1,0,37,9,0.5833334,0.0,0.0,6,1,3,3,0,0,3,0,0,0,2,0,0,2,0,0,2,0,3,73,6,0,5,0,0,28,6,20,7,16,2,1,0,0,62,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\plantuml\src\net\sourceforge\plantuml\asciiart\ComponentTextGroupingTail.java,net.sourceforge.plantuml.asciiart.ComponentTextGroupingTail,class,11,11,0,11,5,2,0,5,4,0.6666667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,26,2,0,1,0,1,0,6,7,3,7,1,0,0,0,39,1,0
