file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous4,anonymous,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-intellij-plugin\testdata\processor\PsiMountSpecModelFactoryTest.java,TestTreeProp,class,1,3,2,1,8,1,0,3,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,22,5,0,4,0,0,0,0,2,0,2,1,0,0,0,16,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous5,anonymous,1,1,0,1,3,1,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous6,anonymous,1,1,0,1,3,1,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,1,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-processor\src\main\java\com\facebook\litho\specmodels\generator\ComponentBodyGenerator.java,com.facebook.litho.specmodels.generator.ComponentBodyGenerator,class,61,74,13,61,178,1,0,180,818,0.9878049,0.0,0.0,41,40,4,7,0,30,34,0,0,0,6,6,1,0,0,5,6,0,82,585,71,15,22,0,8,192,31,115,34,117,3,0,0,6,250,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\specmodels\generator\StateGeneratorTest.java,com.facebook.litho.specmodels.generator.StateGeneratorTest$TestWithStateSpec,innerclass,9,9,0,9,3,1,0,0,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore-transitions\src\main\java\com\facebook\litho\animation\AnimatedPropertyNode.java,com.facebook.litho.animation.AnimatedPropertyNode,class,7,13,6,7,20,2,0,20,16,0.6666667,0.0,0.0,8,1,4,3,0,1,5,0,0,0,3,0,0,3,0,0,2,0,2,68,9,2,6,0,2,0,2,13,0,13,2,0,0,0,80,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore\src\main\java\com\facebook\rendercore\instrumentation\HandlerInstrumenter.java,com.facebook.rendercore.instrumentation.HandlerInstrumenter,class,4,5,1,4,3,1,0,1,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,16,2,0,1,0,0,0,0,2,0,2,1,0,1,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-editor-core\src\main\java\com\facebook\litho\editor\model\EditorValue.java,com.facebook.litho.editor.model.EditorValue$EditorPrimitiveVisitor,interface,5,5,0,5,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-core\src\main\java\com\facebook\litho\DefaultComponentsReporter.java,com.facebook.litho.DefaultComponentsReporter,class,7,8,1,7,10,1,0,6,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,1,31,0,0,0,0,0,1,1,1,3,1,2,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\specmodels\processor\TagExtractorTest.java,com.facebook.litho.specmodels.processor.TagExtractorTest,class,14,14,0,14,8,1,0,14,0,0.5416667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,1,2,0,0,0,0,0,58,0,0,0,0,0,6,8,11,0,11,0,0,4,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\widget\RecyclerBinderSubAdapterTest.java,com.facebook.litho.widget.RecyclerBinderSubAdapterTest,class,12,12,0,12,9,2,0,19,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,113,0,3,0,0,0,0,14,14,0,14,1,0,1,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-widget\src\main\java\com\facebook\litho\widget\CenterSnappingSmoothScroller.java,com.facebook.litho.widget.CenterSnappingSmoothScroller,class,3,4,1,3,3,2,0,0,1,0.5,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,1,0,2,0,0,2,0,0,15,2,0,0,0,4,0,3,3,9,3,0,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\sample\src\main\java\com\facebook\samples\litho\java\animations\docs\AppearTransitionComponentSpec.java,com.facebook.samples.litho.java.animations.docs.AppearTransitionComponentSpec,class,13,13,0,13,5,1,0,16,4,0.5,0.0,0.0,4,4,0,0,0,4,4,0,0,0,1,1,0,1,0,0,1,0,0,22,2,0,0,0,0,1,5,3,0,2,1,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous4,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\lib\yoga\src\main\java\com\facebook\yoga\YogaDimension.java,com.facebook.yoga.YogaDimension,enum,1,2,1,1,5,1,0,0,1,0.33333334,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,1,4,1,1,1,1,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-sections-core\src\main\java\com\facebook\litho\sections\SectionTreeLoadingEventHandler.java,com.facebook.litho.sections.SectionTreeLoadingEventHandler,class,4,5,1,4,4,2,0,2,0,0.33333334,0.0,0.0,3,0,1,0,0,2,3,0,0,0,2,1,0,2,0,0,2,0,0,19,1,0,1,0,0,0,1,4,0,3,1,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous1,anonymous,4,4,0,4,4,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,2,0,0,0,0,2,0,2,1,0,0,0,19,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-core\src\main\java\com\facebook\litho\MatrixDrawable.java,com.facebook.litho.MatrixDrawable,class,20,22,2,20,73,2,0,48,45,0.8114035,0.0,0.0,38,0,35,2,1,0,36,0,0,0,6,1,1,5,0,0,1,0,4,193,27,0,31,1,3,0,6,19,2,14,2,0,0,0,130,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-intellij-plugin\testdata\completion\LayoutSpecAnnotationsContributorSpec.java,LayoutSpecAnnotationsContributorSpecSpec,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\sample\src\main\java\com\facebook\samples\litho\java\editor\SimpleEditorComponentSpec.java,com.facebook.samples.litho.java.editor.SimpleEditorComponentSpec$Emotions$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous4,anonymous,7,7,0,7,6,1,0,19,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,4,0,0,0,0,4,0,4,1,0,0,0,32,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-testing\src\main\java\com\facebook\litho\BaseMatcherBuilder.java,com.facebook.litho.BaseMatcherBuilder$Anonymous1,anonymous,4,4,0,4,22,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,14,0,0,7,0,2,0,2,1,0,0,0,17,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous2,anonymous,4,4,0,4,4,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,3,0,0,0,0,2,0,2,1,0,0,0,19,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-intellij-plugin\testdata\completion\EventHandlerCompletionContributorTest.java,EventHandlerAnnotatorSpec$Component,innerclass,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous3,anonymous,4,4,0,4,4,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\sample\src\main\java\com\facebook\samples\litho\java\hscroll\HorizontalScrollWithSnapActivity.java,com.facebook.samples.litho.java.hscroll.HorizontalScrollWithSnapActivity,class,5,5,0,5,1,2,0,8,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,4,0,4,0,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\lib\yoga\src\main\java\com\facebook\yoga\YogaMeasureFunction.java,com.facebook.yoga.YogaMeasureFunction,interface,2,8,6,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-editor-flipper\src\main\java\com\facebook\litho\editor\flipper\LithoRecyclerViewDescriptor.java,com.facebook.litho.editor.flipper.LithoRecyclerViewDescriptor,class,14,16,2,14,24,2,0,27,231,0.0,0.0,0.0,22,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,109,17,1,1,0,0,0,5,23,0,23,1,1,0,0,55,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-widget\src\main\java\com\facebook\litho\widget\RenderInfo.java,com.facebook.litho.widget.RenderInfo,interface,7,73,66,7,19,1,0,0,171,0.0,0.0,0.0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous1,anonymous,2,2,0,2,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,1,1,0,0,0,0,1,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\rules\AnimationRunnerTestRule.java,com.facebook.litho.testing.espresso.rules.AnimationRunnerTestRule,class,3,3,0,3,2,2,0,6,1,0.75,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,1,1,1,0,0,1,0,0,20,0,0,0,0,0,0,2,3,0,2,0,1,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-core\src\main\java\com\facebook\litho\LithoLayoutContextExtraData.java,com.facebook.litho.LithoLayoutContextExtraData,class,4,5,1,4,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,18,1,0,0,0,0,0,0,1,0,1,0,0,1,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\sample\src\main\java\com\facebook\samples\litho\java\lithography\Datum.java,com.facebook.samples.litho.java.lithography.Datum,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous3,anonymous,2,2,0,2,6,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,1,0,1,1,0,1,0,1,2,0,0,0,21,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-processor\src\main\java\com\facebook\litho\specmodels\model\FieldModel.java,com.facebook.litho.specmodels.model.FieldModel,class,2,20,18,2,6,1,0,3,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,0,17,4,0,3,0,0,0,0,3,0,3,1,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous2,anonymous,4,4,0,4,6,1,0,11,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,36,3,1,0,1,1,6,1,10,2,9,3,0,0,0,43,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\sections\ChangeSetTest.java,com.facebook.litho.sections.ChangeSetTest,class,9,10,1,9,10,1,0,27,15,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,103,1,4,0,0,0,0,89,15,0,15,1,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-it\src\test\java\com\facebook\litho\widget\RecyclerBinderUpdateCallbackTest.java,com.facebook.litho.widget.RecyclerBinderUpdateCallbackTest,class,19,20,1,19,17,1,0,37,3,0.5,0.0,0.0,6,1,5,1,0,0,5,0,0,0,9,3,0,9,0,0,3,0,2,153,0,11,0,0,0,3,62,45,4,45,1,2,1,0,79,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-intellij-plugin\testdata\navigation\GroupSectionSpecMethodDeclarationHandlerTest.java,TestGroupSectionSpec$TestGroupSection,innerclass,2,2,0,2,2,2,0,0,1,0.0,0.0,0.0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore-transitions\src\main\java\com\facebook\litho\TransitionManager.java,com.facebook.litho.TransitionManager$RootAnimationListener,innerclass,2,2,0,2,5,1,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-widget\src\main\java\com\facebook\litho\widget\LayoutInfoUtils.java,com.facebook.litho.widget.LayoutInfoUtils,class,6,10,4,6,13,1,0,10,10,0.0,0.0,0.0,5,4,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,42,4,2,2,0,2,1,5,15,0,10,3,0,0,0,60,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore\src\main\java\com\facebook\rendercore\utils\LayoutUtils.java,com.facebook.rendercore.utils.LayoutUtils$API17LayoutUtils,innerclass,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-editor-core\src\main\java\com\facebook\litho\editor\instances\AtomicBooleanEditorInstance.java,com.facebook.litho.editor.instances.AtomicBooleanEditorInstance,class,5,6,1,5,3,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,1,0,0,1,0,1,0,1,0,1,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\sample-codelab\src\main\java\com\facebook\samples\lithocodelab\examples\modules\LearningClickEventsComponentSpec.java,com.facebook.samples.lithocodelab.examples.modules.LearningClickEventsComponentSpec,class,8,8,0,8,5,1,0,25,10,0.0,0.0,0.0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,9,13,0,2,0,0,0,0,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-processor\src\main\java\com\facebook\litho\specmodels\model\PropValidation.java,com.facebook.litho.specmodels.model.PropValidation,class,16,18,2,16,56,1,0,32,1,0.8333333,NaN,NaN,2,2,0,1,0,1,1,0,0,0,3,3,2,1,0,0,3,0,4,156,3,6,4,0,4,263,3,18,15,17,5,0,1,0,126,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-core\src\main\java\com\facebook\litho\LithoViewAttributesExtension.java,com.facebook.litho.LithoViewAttributesExtension$LithoViewAttributesState,innerclass,4,4,0,4,8,1,0,3,4,0.6666667,0.0,0.0,5,0,0,0,0,5,5,0,0,0,3,0,0,3,0,0,0,0,0,24,4,0,3,0,0,1,0,2,0,4,1,0,0,0,31,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore-transitions\src\main\java\com\facebook\litho\animation\DelayBinding.java,com.facebook.litho.animation.DelayBinding$Anonymous2,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore-transitions\src\main\java\com\facebook\litho\animation\DelayBinding.java,com.facebook.litho.animation.DelayBinding$Anonymous1,anonymous,3,3,0,3,5,1,0,3,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-sections-core\src\main\java\com\facebook\litho\sections\SectionKeyNotFoundException.java,com.facebook.litho.sections.SectionKeyNotFoundException,class,0,1,1,0,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-rendercore\src\main\java\com\facebook\rendercore\utils\MeasureSpecUtils.java,com.facebook.rendercore.utils.MeasureSpecUtils,class,1,7,6,1,30,1,0,11,46,0.75,0.0,0.0,12,12,9,3,0,0,9,0,0,0,2,2,0,2,0,0,2,0,8,57,15,0,14,0,4,5,2,8,1,8,1,0,0,0,66,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-testing\src\main\java\com\facebook\litho\testing\TestLayoutComponent.java,com.facebook.litho.testing.TestLayoutComponent$Builder,innerclass,8,8,0,8,4,1,0,0,0,0.25,0.0,0.0,4,0,2,1,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,16,2,0,0,0,0,0,0,2,0,1,0,0,0,0,13,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\sample\src\main\java\com\facebook\samples\litho\java\animations\sharedelements\DetailActivity.java,com.facebook.samples.litho.java.animations.sharedelements.DetailActivity,class,13,15,2,13,7,2,0,27,1,0.5,NaN,NaN,2,1,0,1,1,0,1,0,0,0,4,4,4,0,0,0,4,0,1,44,1,0,1,0,3,11,8,10,2,10,2,1,0,0,163,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\litho\litho-editor-flipper\src\main\java\com\facebook\litho\editor\flipper\FlipperEditor.java,com.facebook.litho.editor.flipper.FlipperEditor,class,17,20,3,17,21,1,0,31,28,0.0,0.0,0.0,8,8,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,120,14,3,2,0,1,2,3,20,1,16,1,1,0,0,119,1,0
