file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\integration\ServiceTestRuleSample\app\src\androidTest\java\com\example\android\testing\ServiceTestRuleSample\LocalServiceTest.java,com.example.android.testing.ServiceTestRuleSample.LocalServiceTest,class,10,10,0,10,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,10,0,0,0,0,1,0,1,4,0,4,0,0,0,0,89,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\ui\espresso\IdlingResourceSample\app\src\androidTest\java\com\example\android\testing\espresso\IdlingResourceSample\ChangeTextBehaviorTest.java,com.example.android.testing.espresso.IdlingResourceSample.ChangeTextBehaviorTest,class,9,9,0,9,4,1,0,13,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,24,0,0,1,0,0,1,0,2,0,3,1,1,0,0,51,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\ui\espresso\DataAdapterSample\app\src\main\java\com\example\android\testing\espresso\DataAdapterSample\LongListActivity.java,com.example.android.testing.espresso.DataAdapterSample.LongListActivity$LongListAdapter$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\runner\AndroidJunitRunnerSample\app\src\androidTest\java\com\example\android\testing\androidjunitrunnersample\OperationHintLegacyInstrumentationTest.java,com.example.android.testing.androidjunitrunnersample.OperationHintLegacyInstrumentationTest,class,4,5,1,4,5,2,0,10,0,0.2,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,0,0,2,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,79,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\runner\AndroidJunitRunnerSample\app\src\androidTest\java\com\example\android\testing\androidjunitrunnersample\CalculatorTest.java,com.example.android.testing.androidjunitrunnersample.CalculatorTest,class,6,7,1,6,7,1,0,6,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,17,6,0,6,0,0,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\ui\espresso\BasicSample\app\src\androidTest\java\com\example\android\testing\espresso\BasicSample\ChangeTextBehaviorTest.java,com.example.android.testing.espresso.BasicSample.ChangeTextBehaviorTest,class,7,7,0,7,2,1,0,9,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,2,0,0,0,1,0,0,14,0,0,0,0,0,1,0,2,0,2,0,0,0,0,62,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\ui\espresso\WebBasicSample\app\src\androidTest\java\com\example\android\testing\espresso\web\BasicSample\WebViewActivityTest.java,com.example.android.testing.espresso.web.BasicSample.WebViewActivityTest,class,9,10,1,9,3,1,0,14,1,0.5555556,0.0,0.0,3,1,2,1,0,0,2,0,0,0,3,2,1,2,0,0,2,0,2,23,1,0,0,0,0,8,0,4,0,4,0,1,0,0,97,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\runner\AndroidJunitRunnerSample\app\src\androidTest\java\com\example\android\testing\androidjunitrunnersample\CalculatorInstrumentationTest.java,com.example.android.testing.androidjunitrunnersample.CalculatorInstrumentationTest,class,7,9,2,7,8,1,0,13,28,0.0,0.0,0.0,8,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,14,0,2,0,2,0,0,0,0,80,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\ui\espresso\RecyclerViewSample\app\src\androidTest\java\com\example\android\testing\espresso\RecyclerViewSample\RecyclerViewSampleTest.java,com.example.android.testing.espresso.RecyclerViewSample.RecyclerViewSampleTest,class,13,14,1,13,4,1,0,17,6,0.875,0.0,0.0,4,1,3,1,0,0,3,0,0,0,2,1,1,1,0,0,1,0,2,28,1,0,0,0,0,1,1,4,1,4,0,1,0,0,69,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\testing-samples\unit\BasicUnitAndroidTest\app\src\main\java\com\example\android\testing\unittesting\basicunitandroidtest\LogHistory.java,com.example.android.testing.unittesting.basicunitandroidtest.LogHistory,class,4,6,2,4,9,1,0,10,3,0.5833333,0.0,0.0,6,0,5,1,0,0,5,0,0,0,2,1,1,1,0,0,2,0,0,49,2,2,1,0,0,1,3,12,0,10,1,1,0,0,59,1,0
